author_handle,month,score,count,retweet_mean,retweet_sum,reply_mean,reply_sum,like_mean,like_sum,quote_mean,quote_sum
MSNBC,12,1,114,85.05263157894737,9696,80.76315789473684,9207,166.62280701754386,18995,9.903508771929825,1129
NBCNews,7,0,350,75.09142857142857,26282,60.09428571428571,21033,144.24285714285713,50485,33.54571428571428,11741
NBCNews,7,1,49,42.816326530612244,2098,30.877551020408163,1513,82.53061224489795,4044,13.653061224489797,669
NBCNews,8,0,1386,107.15440115440116,148516,68.09163059163059,94375,179.17243867243866,248333,33.30663780663781,46163
NBCNews,8,1,321,94.51090342679127,30338,51.64485981308411,16578,173.33021806853583,55639,42.87850467289719,13764
NBCNews,9,0,1381,109.65894279507603,151439,58.254887762490945,80450,174.61766835626358,241147,34.745112237509055,47983
NBCNews,9,1,266,58.45864661654135,15550,56.92857142857143,15143,110.8609022556391,29489,26.26691729323308,6987
NBCNews,10,0,1529,118.34466971877043,180949,74.77305428384565,114328,197.0909090909091,301352,48.41268803139307,74023
NBCNews,10,1,306,78.79738562091504,24112,62.06535947712418,18992,158.98366013071896,48649,47.6797385620915,14590
NBCNews,11,0,1559,89.03720333547146,138809,55.57216164207826,86637,159.0647851186658,247982,21.795381654906993,33979
NBCNews,11,1,308,48.03896103896104,14796,40.107142857142854,12353,96.14935064935065,29614,14.46103896103896,4454
NBCNews,12,0,1646,80.79951397326853,132996,49.23572296476306,81042,144.65674362089914,238105,16.93742405832321,27879
NBCNews,12,1,330,44.61818181818182,14724,25.933333333333334,8558,92.9,30657,10.433333333333334,3443
NPR,7,0,73,94.75342465753425,6917,20.506849315068493,1497,195.1917808219178,14249,19.19178082191781,1401
NPR,7,1,42,94.95238095238095,3988,15.738095238095237,661,243.21428571428572,10215,16.547619047619047,695
NPR,8,0,1213,113.96125309150865,138235,25.490519373454244,30920,212.76174773289364,258080,20.33058532563891,24661
NPR,8,1,357,138.6918767507003,49513,20.425770308123248,7292,244.1624649859944,87166,23.683473389355743,8455
NPR,9,0,1132,117.27915194346289,132760,21.18286219081272,23979,194.52120141342755,220198,19.228798586572438,21767
NPR,9,1,344,86.50290697674419,29757,15.287790697674419,5259,167.86337209302326,57745,12.758720930232558,4389
NPR,10,0,1138,111.8224956063269,127254,23.127416520210897,26319,208.07029876977154,236784,22.0597539543058,25104
NPR,10,1,320,88.484375,28315,13.65,4368,172.65,55248,13.58125,4346
NPR,11,0,1221,102.15642915642916,124733,22.51760851760852,27494,186.86732186732186,228165,18.380835380835382,22443
NPR,11,1,310,86.73548387096774,26888,18.39032258064516,5701,171.7258064516129,53235,13.92258064516129,4316
NPR,12,0,1266,114.08293838862559,144429,24.977883096366508,31622,211.47235387045814,267724,22.04739336492891,27912
NPR,12,1,396,100.38888888888889,39754,22.045454545454547,8730,182.83080808080808,72401,19.974747474747474,7910
WSJ,1,0,2809,63.73834104663581,179041,16.696689213243147,46901,81.25453898184408,228244,16.987184051263796,47717
WSJ,1,1,463,53.67818574514039,24853,9.557235421166308,4425,82.57019438444924,38230,13.473002159827214,6238
WSJ,2,0,2655,63.29604519774011,168051,19.81431261770245,52607,84.16459510357815,223457,18.119020715630885,48106
WSJ,2,1,437,45.892448512585815,20055,12.501144164759726,5463,71.18535469107552,31108,14.414187643020595,6299
WSJ,3,0,3142,59.56842775302355,187164,14.15404201145767,44472,76.18586887332908,239376,14.839592616168046,46626
WSJ,3,1,507,45.001972386587774,22816,8.126232741617358,4120,67.86785009861933,34409,11.627218934911243,5895
